,TransactionID,CustomerID,Date,ProductID,Price,Qty,TotalAmount,StoreID
167,TR24817,287,2022-12-01,P3,7500,1,7500,8
168,TR25833,135,2022-12-01,P2,3200,4,12800,5
169,TR28633,201,2022-12-01,P9,10000,6,60000,2
170,TR39671,52,2022-12-01,P10,15000,2,30000,7
171,TR4401,342,2022-12-01,P4,12000,5,60000,3
172,TR49649,154,2022-12-01,P10,15000,1,15000,10
173,TR69772,112,2022-12-01,P8,16000,1,16000,5
174,TR76028,301,2022-12-01,P1,8800,8,70400,4
175,TR9420,28,2022-12-01,P8,16000,3,48000,9
176,TR94326,167,2022-12-01,P9,10000,2,20000,13
177,TR17988,112,2022-01-13,P6,18000,1,18000,2
178,TR23621,156,2022-01-13,P7,9400,2,18800,6
179,TR31421,427,2022-01-13,P6,18000,3,54000,2
180,TR33225,286,2022-01-13,P1,8800,3,26400,4
181,TR37826,149,2022-01-13,P7,9400,6,56400,6
182,TR48412,275,2022-01-13,P4,12000,2,24000,3
183,TR61271,442,2022-01-13,P1,8800,3,26400,12
184,TR75546,34,2022-01-13,P5,4200,4,16800,6
185,TR83152,420,2022-01-13,P10,15000,1,15000,10
186,TR97807,324,2022-01-13,P6,18000,3,54000,12
187,TR16701,426,2022-01-14,P4,12000,1,12000,14
188,TR19443,295,2022-01-14,P9,10000,6,60000,2
189,TR22474,231,2022-01-14,P3,7500,2,15000,8
190,TR43117,267,2022-01-14,P10,15000,4,60000,1
191,TR63072,210,2022-01-14,P7,9400,5,47000,3
192,TR68172,131,2022-01-14,P5,4200,5,21000,14
193,TR82815,206,2022-01-14,P7,9400,3,28200,9
194,TR88153,303,2022-01-14,P5,4200,3,12600,1
195,TR94606,329,2022-01-14,P10,15000,2,30000,13
196,TR11326,433,2022-01-15,P9,10000,2,20000,11
197,TR13287,2,2022-01-15,P5,4200,2,8400,9
198,TR14344,300,2022-01-15,P7,9400,2,18800,4
199,TR1445,171,2022-01-15,P5,4200,3,12600,13
200,TR16248,130,2022-01-15,P2,3200,7,22400,10
201,TR21056,62,2022-01-15,P8,16000,3,48000,5
202,TR30914,241,2022-01-15,P3,7500,5,37500,2
203,TR32340,121,2022-01-15,P5,4200,3,12600,4
204,TR33508,234,2022-01-15,P4,12000,5,60000,8
205,TR34660,85,2022-01-15,P10,15000,5,75000,2
206,TR37177,93,2022-01-15,P5,4200,3,12600,8
207,TR37379,48,2022-01-15,P10,15000,5,75000,2
208,TR38169,444,2022-01-15,P4,12000,1,12000,9
209,TR41344,306,2022-01-15,P8,16000,2,32000,1
210,TR44149,197,2022-01-15,P4,12000,2,24000,8
211,TR54663,361,2022-01-15,P1,8800,8,70400,1
212,TR65307,443,2022-01-15,P5,4200,4,16800,4
213,TR71470,217,2022-01-15,P10,15000,5,75000,14
214,TR71650,142,2022-01-15,P5,4200,5,21000,7
215,TR76485,434,2022-01-15,P9,10000,3,30000,5
216,TR85027,216,2022-01-15,P2,3200,6,19200,1
217,TR8647,378,2022-01-15,P1,8800,9,79200,9
218,TR88822,59,2022-01-15,P7,9400,3,28200,1
219,TR96420,351,2022-01-15,P9,10000,5,50000,8
220,TR98224,40,2022-01-15,P6,18000,4,72000,10
221,TR1576,138,2022-01-16,P1,8800,2,17600,7
222,TR16100,184,2022-01-16,P9,10000,5,50000,11
223,TR17745,150,2022-01-16,P2,3200,5,16000,2
224,TR19359,105,2022-01-16,P10,15000,5,75000,13
225,TR40245,355,2022-01-16,P6,18000,3,54000,12
226,TR4066,342,2022-01-16,P10,15000,4,60000,10
227,TR44922,209,2022-01-16,P10,15000,1,15000,1
228,TR52563,278,2022-01-16,P8,16000,3,48000,3
229,TR66649,299,2022-01-16,P8,16000,3,48000,1
230,TR88920,447,2022-01-16,P8,16000,1,16000,4
231,TR95280,423,2022-01-16,P10,15000,1,15000,10
232,TR12572,264,2022-01-17,P1,8800,8,70400,1
233,TR16416,162,2022-01-17,P8,16000,2,32000,11
234,TR19683,446,2022-01-17,P10,15000,5,75000,13
235,TR28079,217,2022-01-17,P5,4200,3,12600,11
236,TR28209,447,2022-01-17,P3,7500,5,37500,9
237,TR2841,16,2022-01-17,P7,9400,6,56400,2
238,TR28854,136,2022-01-17,P9,10000,4,40000,8
239,TR28928,110,2022-01-17,P10,15000,5,75000,4
240,TR3941,177,2022-01-17,P7,9400,2,18800,7
241,TR55188,398,2022-01-17,P5,4200,5,21000,6
242,TR67971,177,2022-01-17,P2,3200,5,16000,2
243,TR81233,71,2022-01-17,P3,7500,6,45000,13
244,TR84034,439,2022-01-17,P5,4200,5,21000,8
245,TR8508,401,2022-01-17,P5,4200,4,16800,14
246,TR88404,296,2022-01-17,P5,4200,5,21000,3
247,TR91007,37,2022-01-17,P10,15000,5,75000,2
248,TR98921,187,2022-01-17,P8,16000,2,32000,9
249,TR18620,306,2022-01-18,P2,3200,4,12800,1
250,TR3743,83,2022-01-18,P3,7500,4,30000,13
251,TR40659,368,2022-01-18,P3,7500,6,45000,6
252,TR49285,240,2022-01-18,P3,7500,1,7500,11
253,TR52721,356,2022-01-18,P8,16000,3,48000,12
254,TR53728,120,2022-01-18,P5,4200,3,12600,7
255,TR60985,404,2022-01-18,P5,4200,2,8400,2
256,TR71324,225,2022-01-18,P3,7500,2,15000,7
257,TR75701,378,2022-01-18,P8,16000,1,16000,11
258,TR7896,303,2022-01-18,P7,9400,5,47000,6
259,TR82047,92,2022-01-18,P2,3200,4,12800,5
260,TR89703,81,2022-01-18,P8,16000,2,32000,4
261,TR20664,130,2022-01-19,P6,18000,3,54000,8
262,TR2323,115,2022-01-19,P3,7500,4,30000,11
263,TR24906,23,2022-01-19,P1,8800,2,17600,9
264,TR29591,203,2022-01-19,P4,12000,4,48000,5
265,TR3330,318,2022-01-19,P10,15000,1,15000,2
266,TR3414,56,2022-01-19,P3,7500,2,15000,13
267,TR38717,45,2022-01-19,P3,7500,3,22500,3
268,TR53185,404,2022-01-19,P4,12000,3,36000,1
269,TR75889,154,2022-01-19,P3,7500,3,22500,12
270,TR76104,6,2022-01-19,P7,9400,6,56400,3
271,TR78475,397,2022-01-19,P10,15000,4,60000,6
272,TR80853,351,2022-01-19,P7,9400,2,18800,11
273,TR87436,151,2022-01-19,P1,8800,6,52800,10
274,TR89069,107,2022-01-19,P9,10000,4,40000,7
275,TR97235,413,2022-01-19,P5,4200,2,8400,11
276,TR19590,258,2022-01-20,P6,18000,2,36000,12
277,TR20045,243,2022-01-20,P3,7500,1,7500,12
278,TR24538,116,2022-01-20,P10,15000,1,15000,3
279,TR31616,416,2022-01-20,P9,10000,5,50000,2
280,TR33794,169,2022-01-20,P9,10000,6,60000,12
281,TR38395,386,2022-01-20,P8,16000,1,16000,7
282,TR60760,359,2022-01-20,P5,4200,3,12600,3
283,TR63307,443,2022-01-20,P7,9400,4,37600,13
284,TR63588,326,2022-01-20,P4,12000,3,36000,6
285,TR72168,130,2022-01-20,P5,4200,3,12600,9
286,TR82517,297,2022-01-20,P5,4200,2,8400,5
287,TR88378,44,2022-01-20,P7,9400,6,56400,14
288,TR92856,79,2022-01-20,P7,9400,3,28200,10
289,TR14385,66,2022-01-21,P6,18000,3,54000,9
290,TR1807,197,2022-01-21,P3,7500,4,30000,11
291,TR24740,106,2022-01-21,P2,3200,3,9600,5
292,TR26433,209,2022-01-21,P7,9400,3,28200,4
293,TR28011,367,2022-01-21,P9,10000,5,50000,5
294,TR31493,131,2022-01-21,P1,8800,8,70400,12
295,TR32113,171,2022-01-21,P3,7500,6,45000,2
296,TR32730,243,2022-01-21,P6,18000,1,18000,9
297,TR3316,435,2022-01-21,P7,9400,5,47000,13
298,TR34731,281,2022-01-21,P3,7500,5,37500,4
299,TR47402,19,2022-01-21,P9,10000,5,50000,3
300,TR56276,88,2022-01-21,P10,15000,2,30000,1
301,TR93101,267,2022-01-21,P1,8800,3,26400,12
302,TR94279,119,2022-01-21,P5,4200,4,16800,1
303,TR99024,289,2022-01-21,P6,18000,3,54000,1
304,TR22459,362,2022-01-22,P10,15000,5,75000,12
305,TR25854,176,2022-01-22,P8,16000,2,32000,8
306,TR4315,181,2022-01-22,P5,4200,5,21000,8
307,TR47702,359,2022-01-22,P4,12000,5,60000,11
308,TR56832,429,2022-01-22,P4,12000,5,60000,2
309,TR67395,328,2022-01-22,P8,16000,3,48000,11
310,TR81633,376,2022-01-22,P8,16000,2,32000,5
311,TR9042,320,2022-01-22,P5,4200,3,12600,7
312,TR95963,73,2022-01-22,P3,7500,2,15000,3
313,TR11023,395,2022-01-23,P3,7500,5,37500,3
314,TR16773,14,2022-01-23,P6,18000,1,18000,2
315,TR23559,62,2022-01-23,P5,4200,5,21000,10
316,TR40337,168,2022-01-23,P3,7500,2,15000,12
317,TR5111,294,2022-01-23,P5,4200,5,21000,13
318,TR68999,349,2022-01-23,P1,8800,3,26400,13
319,TR72014,295,2022-01-23,P5,4200,5,21000,6
320,TR82501,335,2022-01-23,P5,4200,4,16800,13
321,TR8408,26,2022-01-23,P10,15000,1,15000,2
322,TR91120,114,2022-01-23,P3,7500,6,45000,12
323,TR13528,196,2022-01-24,P4,12000,5,60000,10
324,TR14110,356,2022-01-24,P6,18000,2,36000,9
325,TR26197,187,2022-01-24,P10,15000,4,60000,2
326,TR27545,34,2022-01-24,P6,18000,4,72000,7
327,TR29618,171,2022-01-24,P10,15000,4,60000,9
328,TR3218,91,2022-01-24,P1,8800,10,88000,10
329,TR34744,76,2022-01-24,P2,3200,3,9600,8
330,TR37162,169,2022-01-24,P8,16000,2,32000,5
331,TR48869,257,2022-01-24,P1,8800,6,52800,5
332,TR62843,123,2022-01-24,P2,3200,5,16000,3
333,TR65973,422,2022-01-24,P2,3200,5,16000,11
334,TR69288,160,2022-01-24,P2,3200,3,9600,4
335,TR80016,183,2022-01-24,P3,7500,2,15000,10
336,TR1186,423,2022-01-25,P4,12000,5,60000,13
337,TR14148,418,2022-01-25,P5,4200,5,21000,1
338,TR24554,444,2022-01-25,P10,15000,5,75000,14
339,TR24979,276,2022-01-25,P5,4200,2,8400,1
340,TR32972,372,2022-01-25,P5,4200,2,8400,11
341,TR38205,314,2022-01-25,P8,16000,3,48000,1
342,TR496,3,2022-01-25,P1,8800,2,17600,8
343,TR53992,96,2022-01-25,P2,3200,5,16000,4
344,TR5572,344,2022-01-25,P2,3200,4,12800,1
345,TR57565,180,2022-01-25,P5,4200,4,16800,12
346,TR600,97,2022-01-25,P4,12000,1,12000,7
347,TR6094,104,2022-01-25,P1,8800,4,35200,3
348,TR67707,49,2022-01-25,P10,15000,3,45000,13
349,TR74093,298,2022-01-25,P3,7500,3,22500,2
350,TR74832,57,2022-01-25,P9,10000,2,20000,4
351,TR94774,222,2022-01-25,P3,7500,6,45000,3
352,TR99456,403,2022-01-25,P5,4200,4,16800,3
353,TR18017,369,2022-01-26,P10,15000,3,45000,8
354,TR21020,10,2022-01-26,P8,16000,3,48000,4
355,TR26976,89,2022-01-26,P3,7500,2,15000,7
356,TR291,20,2022-01-26,P1,8800,3,26400,10
357,TR33309,172,2022-01-26,P10,15000,1,15000,6
358,TR38496,171,2022-01-26,P1,8800,7,61600,3
359,TR69292,101,2022-01-26,P4,12000,2,24000,4
360,TR71806,88,2022-01-26,P10,15000,3,45000,2
361,TR73761,167,2022-01-26,P5,4200,5,21000,1
362,TR83851,398,2022-01-26,P10,15000,1,15000,11
363,TR88485,24,2022-01-26,P7,9400,4,37600,10
364,TR8926,16,2022-01-26,P3,7500,6,45000,5
365,TR95049,72,2022-01-26,P7,9400,3,28200,7
366,TR96226,87,2022-01-26,P8,16000,3,48000,9
367,TR96565,407,2022-01-26,P2,3200,3,9600,4
368,TR1152,149,2022-01-27,P3,7500,6,45000,9
369,TR20460,277,2022-01-27,P8,16000,3,48000,14
370,TR21521,219,2022-01-27,P10,15000,3,45000,12
371,TR22096,152,2022-01-27,P2,3200,7,22400,12
372,TR39689,287,2022-01-27,P10,15000,1,15000,8
373,TR44341,133,2022-01-27,P4,12000,2,24000,14
374,TR46384,229,2022-01-27,P6,18000,1,18000,2
375,TR47250,205,2022-01-27,P7,9400,6,56400,4
376,TR4769,176,2022-01-27,P8,16000,3,48000,4
377,TR48479,252,2022-01-27,P7,9400,2,18800,1
378,TR49703,215,2022-01-27,P4,12000,2,24000,14
379,TR53294,127,2022-01-27,P8,16000,3,48000,4
380,TR59261,342,2022-01-27,P10,15000,3,45000,6
381,TR66991,312,2022-01-27,P8,16000,2,32000,4
382,TR71099,294,2022-01-27,P5,4200,3,12600,5
383,TR7372,171,2022-01-27,P2,3200,6,19200,9
384,TR84119,307,2022-01-27,P5,4200,3,12600,14
385,TR87564,19,2022-01-27,P9,10000,3,30000,14
386,TR87745,245,2022-01-27,P5,4200,4,16800,1
387,TR91130,288,2022-01-27,P1,8800,3,26400,13
388,TR11942,44,2022-01-28,P4,12000,3,36000,8
389,TR14660,40,2022-01-28,P3,7500,4,30000,5
390,TR18382,23,2022-01-28,P2,3200,3,9600,10
391,TR226,281,2022-01-28,P8,16000,2,32000,3
392,TR26050,88,2022-01-28,P7,9400,3,28200,10
393,TR2737,417,2022-01-28,P2,3200,5,16000,10
394,TR33859,367,2022-01-28,P5,4200,4,16800,7
395,TR43048,202,2022-01-28,P1,8800,2,17600,9
396,TR52295,361,2022-01-28,P4,12000,2,24000,8
397,TR55903,214,2022-01-28,P5,4200,3,12600,4
398,TR58807,20,2022-01-28,P9,10000,4,40000,11
399,TR66811,79,2022-01-28,P2,3200,3,9600,13
400,TR69931,384,2022-01-28,P8,16000,2,32000,12
401,TR98511,410,2022-01-28,P8,16000,3,48000,2
402,TR1232,342,2022-01-29,P5,4200,5,21000,11
403,TR2820,410,2022-01-29,P9,10000,6,60000,6
404,TR29955,445,2022-01-29,P8,16000,2,32000,14
405,TR36472,187,2022-01-29,P6,18000,1,18000,2
406,TR41807,263,2022-01-29,P7,9400,3,28200,5
407,TR44836,99,2022-01-29,P7,9400,4,37600,6
408,TR53477,51,2022-01-29,P5,4200,4,16800,10
409,TR57679,226,2022-01-29,P4,12000,4,48000,5
410,TR5817,256,2022-01-29,P1,8800,2,17600,11
411,TR58339,115,2022-01-29,P7,9400,4,37600,7
412,TR23654,42,2022-01-30,P10,15000,3,45000,8
413,TR28269,131,2022-01-30,P9,10000,5,50000,14
414,TR3314,403,2022-01-30,P3,7500,4,30000,4
415,TR42503,30,2022-01-30,P7,9400,3,28200,5
416,TR45877,310,2022-01-30,P4,12000,3,36000,2
417,TR60792,14,2022-01-30,P8,16000,1,16000,6
418,TR64013,10,2022-01-30,P9,10000,4,40000,4
419,TR64560,195,2022-01-30,P4,12000,1,12000,12
420,TR64899,272,2022-01-30,P3,7500,3,22500,6
421,TR76522,206,2022-01-30,P5,4200,4,16800,6
422,TR81463,416,2022-01-30,P9,10000,5,50000,3
423,TR82591,308,2022-01-30,P9,10000,7,70000,11
424,TR95882,195,2022-01-30,P8,16000,2,32000,10
425,TR98748,66,2022-01-30,P5,4200,4,16800,12
426,TR14763,135,2022-01-31,P4,12000,4,48000,5
427,TR22391,183,2022-01-31,P7,9400,4,37600,1
428,TR3027,12,2022-01-31,P10,15000,4,60000,8
429,TR31748,394,2022-01-31,P10,15000,3,45000,14
430,TR4462,152,2022-01-31,P10,15000,5,75000,4
431,TR69103,27,2022-01-31,P4,12000,4,48000,7
432,TR6940,37,2022-01-31,P3,7500,5,37500,14
433,TR76017,312,2022-01-31,P2,3200,5,16000,3
434,TR77297,417,2022-01-31,P9,10000,2,20000,3
435,TR77509,444,2022-01-31,P5,4200,3,12600,4
436,TR78366,168,2022-01-31,P7,9400,6,56400,3
437,TR79840,133,2022-01-31,P7,9400,5,47000,6
438,TR83213,89,2022-01-31,P5,4200,4,16800,11
439,TR83468,360,2022-01-31,P2,3200,3,9600,11
440,TR87759,373,2022-01-31,P5,4200,2,8400,11
441,TR33585,245,2022-01-02,P2,3200,5,16000,11
442,TR39283,293,2022-01-02,P2,3200,5,16000,8
443,TR40082,293,2022-01-02,P3,7500,3,22500,7
444,TR50178,280,2022-01-02,P10,15000,2,30000,5
445,TR51488,61,2022-01-02,P1,8800,9,79200,10
446,TR51730,3,2022-01-02,P5,4200,4,16800,5
447,TR52040,289,2022-01-02,P5,4200,4,16800,10
448,TR57306,16,2022-01-02,P5,4200,2,8400,13
449,TR96028,141,2022-01-02,P7,9400,6,56400,13
450,TR97521,373,2022-01-02,P5,4200,4,16800,2
451,TR97914,276,2022-01-02,P5,4200,2,8400,6
452,TR99181,355,2022-01-02,P3,7500,4,30000,3
453,TR19203,384,2022-02-02,P7,9400,4,37600,1
454,TR24953,277,2022-02-02,P10,15000,2,30000,10
455,TR35143,338,2022-02-02,P8,16000,2,32000,9
456,TR39794,2,2022-02-02,P3,7500,5,37500,2
457,TR54309,70,2022-02-02,P2,3200,6,19200,4
458,TR58702,330,2022-02-02,P5,4200,4,16800,1
459,TR60184,175,2022-02-02,P1,8800,7,61600,2
460,TR74940,37,2022-02-02,P9,10000,7,70000,13
461,TR80011,79,2022-02-02,P10,15000,1,15000,8
462,TR85957,112,2022-02-02,P1,8800,8,70400,7
463,TR86926,107,2022-02-02,P9,10000,5,50000,9
464,TR90300,57,2022-02-02,P3,7500,3,22500,12
465,TR21207,190,2022-03-02,P5,4200,3,12600,13
466,TR23935,131,2022-03-02,P5,4200,2,8400,5
467,TR32248,63,2022-03-02,P3,7500,1,7500,8
468,TR40265,201,2022-03-02,P10,15000,3,45000,2
469,TR40627,101,2022-03-02,P9,10000,7,70000,12
470,TR59571,376,2022-03-02,P5,4200,5,21000,11
471,TR61442,268,2022-03-02,P4,12000,3,36000,1
472,TR67712,405,2022-03-02,P1,8800,4,35200,6
473,TR72053,28,2022-03-02,P3,7500,6,45000,12
474,TR74533,257,2022-03-02,P3,7500,2,15000,2
475,TR80734,147,2022-03-02,P5,4200,5,21000,13
476,TR96876,381,2022-03-02,P2,3200,4,12800,11
477,TR97709,189,2022-03-02,P3,7500,3,22500,10
478,TR97763,406,2022-03-02,P1,8800,10,88000,3
479,TR16875,218,2022-04-02,P2,3200,5,16000,1
