"transactionid","customerid","date","productid","price","qty","totalamount","storeid","age","gender","income","maritalstatus","productname","price-2","storename","latitude","longitude"
"TR93759                                           ","34                                                ","2022-01-02","P10                                               ",15000,2,30000,"4                                                 ",45,"Female              ",6.36,"Married                                           ","Cheese Stick                                      ",15000,"Gita Ginara                                       ",-6.966667,110.416664
"TR10346                                           ","322                                               ","2022-01-03","P3                                                ",7500,4,30000,"4                                                 ",41,"Female              ",20.1,"Married                                           ","Crackers                                          ",7500,"Gita Ginara                                       ",-6.966667,110.416664
"TR13                                              ","285                                               ","2022-01-03","P8                                                ",16000,1,16000,"6                                                 ",20,"Female              ",0,"Single                                            ","Oat                                               ",16000,"Lingga                                            ",-5.135399,119.42379
"TR15573                                           ","91                                                ","2022-01-03","P2                                                ",3200,6,19200,"13                                                ",59,"Female              ",9.85,"Married                                           ","Ginger Candy                                      ",3200,"Buana                                             ",-1.26916,116.825264
"TR21783                                           ","78                                                ","2022-01-03","P5                                                ",4200,5,21000,"10                                                ",41,"Male                ",10.34,"Married                                           ","Thai Tea                                          ",4200,"Harapan Baru                                      ",3.597031,98.678513
"TR25759                                           ","218                                               ","2022-01-03","P5                                                ",4200,4,16800,"14                                                ",29,"Female              ",3.52,"Married                                           ","Thai Tea                                          ",4200,"Priangan                                          ",-5.45,105.26667
"TR26782                                           ","237                                               ","2022-01-03","P10                                               ",15000,4,60000,"7                                                 ",35,"Male                ",8.14,"Married                                           ","Cheese Stick                                      ",15000,"Buana Indah                                       ",3.316694,114.590111
"TR27698                                           ","178                                               ","2022-01-03","P6                                                ",18000,3,54000,"8                                                 ",43,"Female              ",9.58,"Married                                           ","Cashew                                            ",18000,"Sinar Harapan                                     ",5.54829,95.323753
"TR31585                                           ","144                                               ","2022-01-03","P2                                                ",3200,3,9600,"6                                                 ",34,"Female              ",10.1,"Married                                           ","Ginger Candy                                      ",3200,"Lingga                                            ",-5.135399,119.42379
"TR36491                                           ","117                                               ","2022-01-03","P3                                                ",7500,4,30000,"12                                                ",45,"Male                ",12.55,"Married                                           ","Crackers                                          ",7500,"Prestasi Utama                                    ",-2.990934,104.756554
"TR36846                                           ","159                                               ","2022-01-03","P9                                                ",10000,2,20000,"7                                                 ",53,"Male                ",13.65,"Married                                           ","Yoghurt                                           ",10000,"Buana Indah                                       ",3.316694,114.590111
"TR40890                                           ","224                                               ","2022-01-03","P6                                                ",18000,3,54000,"14                                                ",29,"Female              ",3.31,"Married                                           ","Cashew                                            ",18000,"Priangan                                          ",-5.45,105.26667
"TR45933                                           ","406                                               ","2022-01-03","P4                                                ",12000,2,24000,"8                                                 ",38,"Male                ",8.64,"Married                                           ","Potato Chip                                       ",12000,"Sinar Harapan                                     ",5.54829,95.323753
"TR45980                                           ","7                                                 ","2022-01-03","P3                                                ",7500,3,22500,"7                                                 ",31,"Female              ",4.57,"Married                                           ","Crackers                                          ",7500,"Buana Indah                                       ",3.316694,114.590111
"TR46171                                           ","21                                                ","2022-01-03","P10                                               ",15000,3,45000,"10                                                ",52,"Female              ",12.72,"Married                                           ","Cheese Stick                                      ",15000,"Harapan Baru                                      ",3.597031,98.678513
"TR54686                                           ","106                                               ","2022-01-03","P2                                                ",3200,5,16000,"10                                                ",24,"Female              ",6.79,"Single                                            ","Ginger Candy                                      ",3200,"Harapan Baru                                      ",3.597031,98.678513
"TR74189                                           ","202                                               ","2022-01-03","P7                                                ",9400,3,28200,"10                                                ",28,"Female              ",4.53,"Married                                           ","Coffee Candy                                      ",9400,"Harapan Baru                                      ",3.597031,98.678513
"TR86483                                           ","45                                                ","2022-01-03","P8                                                ",16000,3,48000,"12                                                ",53,"Female              ",9.25,"Married                                           ","Oat                                               ",16000,"Prestasi Utama                                    ",-2.990934,104.756554
"TR9341                                            ","202                                               ","2022-01-03","P7                                                ",9400,5,47000,"14                                                ",28,"Female              ",4.53,"Married                                           ","Coffee Candy                                      ",9400,"Priangan                                          ",-5.45,105.26667
"TR14593                                           ","311                                               ","2022-01-04","P6                                                ",18000,4,72000,"9                                                 ",61,"Male                ",7.64,"Married                                           ","Cashew                                            ",18000,"Lingga                                            ",-3.654703,128.190643
"TR14970                                           ","136                                               ","2022-01-04","P10                                               ",15000,1,15000,"6                                                 ",28,"Male                ",2.96,"Married                                           ","Cheese Stick                                      ",15000,"Lingga                                            ",-5.135399,119.42379
"TR2102                                            ","23                                                ","2022-01-04","P5                                                ",4200,4,16800,"14                                                ",57,"Male                ",12.56,"Married                                           ","Thai Tea                                          ",4200,"Priangan                                          ",-5.45,105.26667
"TR22313                                           ","194                                               ","2022-01-04","P2                                                ",3200,4,12800,"2                                                 ",31,"Male                ",4.33,"Married                                           ","Ginger Candy                                      ",3200,"Prima Kelapa Dua                                  ",-6.914864,107.608238
"TR37381                                           ","243                                               ","2022-01-04","P10                                               ",15000,2,30000,"7                                                 ",38,"Female              ",3.34,"Married                                           ","Cheese Stick                                      ",15000,"Buana Indah                                       ",3.316694,114.590111
"TR41140                                           ","78                                                ","2022-01-04","P9                                                ",10000,2,20000,"14                                                ",41,"Male                ",10.34,"Married                                           ","Yoghurt                                           ",10000,"Priangan                                          ",-5.45,105.26667
"TR45300                                           ","351                                               ","2022-01-04","P6                                                ",18000,4,72000,"11                                                ",45,"Male                ",18.34,"Married                                           ","Cashew                                            ",18000,"Sinar Harapan                                     ",0.533505,101.447403
"TR48461                                           ","117                                               ","2022-01-04","P5                                                ",4200,2,8400,"1                                                 ",45,"Male                ",12.55,"Married                                           ","Thai Tea                                          ",4200,"Prima Tendean                                     ",-6.2,106.816666
"TR49210                                           ","189                                               ","2022-01-04","P4                                                ",12000,1,12000,"7                                                 ",59,"Male                ",5.15,"Single                                            ","Potato Chip                                       ",12000,"Buana Indah                                       ",3.316694,114.590111
"TR50516                                           ","304                                               ","2022-01-04","P10                                               ",15000,2,30000,"1                                                 ",34,"Female              ",8.55,"Single                                            ","Cheese Stick                                      ",15000,"Prima Tendean                                     ",-6.2,106.816666
"TR51256                                           ","433                                               ","2022-01-04","P9                                                ",10000,1,10000,"4                                                 ",48,"Male                ",11.97,"Married                                           ","Yoghurt                                           ",10000,"Gita Ginara                                       ",-6.966667,110.416664
"TR57427                                           ","157                                               ","2022-01-04","P5                                                ",4200,3,12600,"5                                                 ",44,"Female              ",2.52,"Single                                            ","Thai Tea                                          ",4200,"Bonafid                                           ",-7.250445,112.768845
"TR64821                                           ","117                                               ","2022-01-04","P3                                                ",7500,1,7500,"2                                                 ",45,"Male                ",12.55,"Married                                           ","Crackers                                          ",7500,"Prima Kelapa Dua                                  ",-6.914864,107.608238
"TR68280                                           ","36                                                ","2022-01-04","P8                                                ",16000,1,16000,"12                                                ",32,"Male                ",10.4,"Married                                           ","Oat                                               ",16000,"Prestasi Utama                                    ",-2.990934,104.756554
"TR86686                                           ","403                                               ","2022-01-04","P5                                                ",4200,2,8400,"1                                                 ",30,"Female              ",4.6,"Married                                           ","Thai Tea                                          ",4200,"Prima Tendean                                     ",-6.2,106.816666
"TR88044                                           ","62                                                ","2022-01-04","P5                                                ",4200,5,21000,"1                                                 ",51,"Male                ",13.62,"Married                                           ","Thai Tea                                          ",4200,"Prima Tendean                                     ",-6.2,106.816666
"TR90452                                           ","440                                               ","2022-01-04","P2                                                ",3200,5,16000,"11                                                ",40,"Female              ",3.47,"Married                                           ","Ginger Candy                                      ",3200,"Sinar Harapan                                     ",0.533505,101.447403
"TR98969                                           ","355                                               ","2022-01-04","P8                                                ",16000,1,16000,"4                                                 ",19,"Male                ",0,"Single                                            ","Oat                                               ",16000,"Gita Ginara                                       ",-6.966667,110.416664
"TR10602                                           ","22                                                ","2022-01-05","P5                                                ",4200,3,12600,"11                                                ",34,"Female              ",9.91,"Single                                            ","Thai Tea                                          ",4200,"Sinar Harapan                                     ",0.533505,101.447403
"TR24114                                           ","182                                               ","2022-01-05","P8                                                ",16000,1,16000,"4                                                 ",44,"Male                ",14.57,"Married                                           ","Oat                                               ",16000,"Gita Ginara                                       ",-6.966667,110.416664
"TR35280                                           ","167                                               ","2022-01-05","P9                                                ",10000,1,10000,"2                                                 ",28,"Male                ",2.91,"Married                                           ","Yoghurt                                           ",10000,"Prima Kelapa Dua                                  ",-6.914864,107.608238
"TR36079                                           ","297                                               ","2022-01-05","P5                                                ",4200,4,16800,"11                                                ",41,"Male                ",12.13,"Married                                           ","Thai Tea                                          ",4200,"Sinar Harapan                                     ",0.533505,101.447403
"TR43714                                           ","416                                               ","2022-01-05","P7                                                ",9400,2,18800,"13                                                ",27,"Male                ",3.43,"Not Mentioned                                     ","Coffee Candy                                      ",9400,"Buana                                             ",-1.26916,116.825264
"TR46041                                           ","7                                                 ","2022-01-05","P9                                                ",10000,5,50000,"8                                                 ",31,"Female              ",4.57,"Married                                           ","Yoghurt                                           ",10000,"Sinar Harapan                                     ",5.54829,95.323753
"TR60242                                           ","304                                               ","2022-01-05","P4                                                ",12000,1,12000,"13                                                ",34,"Female              ",8.55,"Single                                            ","Potato Chip                                       ",12000,"Buana                                             ",-1.26916,116.825264
"TR61100                                           ","278                                               ","2022-01-05","P8                                                ",16000,2,32000,"2                                                 ",31,"Male                ",9.76,"Married                                           ","Oat                                               ",16000,"Prima Kelapa Dua                                  ",-6.914864,107.608238
"TR61437                                           ","123                                               ","2022-01-05","P1                                                ",8800,4,35200,"6                                                 ",34,"Female              ",4.36,"Married                                           ","Choco Bar                                         ",8800,"Lingga                                            ",-5.135399,119.42379
"TR84132                                           ","22                                                ","2022-01-05","P9                                                ",10000,7,70000,"14                                                ",34,"Female              ",9.91,"Single                                            ","Yoghurt                                           ",10000,"Priangan                                          ",-5.45,105.26667
"TR11638                                           ","67                                                ","2022-01-06","P2                                                ",3200,5,16000,"12                                                ",19,"Female              ",0,"Single                                            ","Ginger Candy                                      ",3200,"Prestasi Utama                                    ",-2.990934,104.756554
"TR20374                                           ","282                                               ","2022-01-06","P2                                                ",3200,5,16000,"3                                                 ",55,"Female              ",11.38,"Married                                           ","Ginger Candy                                      ",3200,"Prima Kota                                        ",-7.797068,110.370529
"TR23183                                           ","84                                                ","2022-01-06","P4                                                ",12000,4,48000,"9                                                 ",54,"Female              ",18.12,"Married                                           ","Potato Chip                                       ",12000,"Lingga                                            ",-3.654703,128.190643
"TR24126                                           ","30                                                ","2022-01-06","P2                                                ",3200,3,9600,"3                                                 ",37,"Male                ",2.26,"Single                                            ","Ginger Candy                                      ",3200,"Prima Kota                                        ",-7.797068,110.370529
"TR32850                                           ","306                                               ","2022-01-06","P2                                                ",3200,3,9600,"6                                                 ",49,"Female              ",16.52,"Married                                           ","Ginger Candy                                      ",3200,"Lingga                                            ",-5.135399,119.42379
"TR40523                                           ","176                                               ","2022-01-06","P3                                                ",7500,4,30000,"2                                                 ",54,"Male                ",18.32,"Married                                           ","Crackers                                          ",7500,"Prima Kelapa Dua                                  ",-6.914864,107.608238
"TR41572                                           ","366                                               ","2022-01-06","P6                                                ",18000,3,54000,"3                                                 ",18,"Female              ",0,"Single                                            ","Cashew                                            ",18000,"Prima Kota                                        ",-7.797068,110.370529
"TR45142                                           ","438                                               ","2022-01-06","P10                                               ",15000,4,60000,"10                                                ",36,"Male                ",5.43,"Single                                            ","Cheese Stick                                      ",15000,"Harapan Baru                                      ",3.597031,98.678513
"TR73860                                           ","71                                                ","2022-01-06","P4                                                ",12000,4,48000,"1                                                 ",46,"Female              ",12.42,"Married                                           ","Potato Chip                                       ",12000,"Prima Tendean                                     ",-6.2,106.816666
"TR74469                                           ","340                                               ","2022-01-06","P5                                                ",4200,4,16800,"4                                                 ",41,"Female              ",10.9,"Single                                            ","Thai Tea                                          ",4200,"Gita Ginara                                       ",-6.966667,110.416664
"TR77963                                           ","116                                               ","2022-01-06","P3                                                ",7500,2,15000,"7                                                 ",51,"Male                ",15.77,"Married                                           ","Crackers                                          ",7500,"Buana Indah                                       ",3.316694,114.590111
"TR81478                                           ","20                                                ","2022-01-06","P5                                                ",4200,4,16800,"8                                                 ",43,"Female              ",18.91,"Married                                           ","Thai Tea                                          ",4200,"Sinar Harapan                                     ",5.54829,95.323753
"TR83042                                           ","102                                               ","2022-01-06","P2                                                ",3200,6,19200,"10                                                ",39,"Female              ",6.44,"Married                                           ","Ginger Candy                                      ",3200,"Harapan Baru                                      ",3.597031,98.678513
"TR87914                                           ","161                                               ","2022-01-06","P5                                                ",4200,4,16800,"9                                                 ",41,"Female              ",20.2,"Married                                           ","Thai Tea                                          ",4200,"Lingga                                            ",-3.654703,128.190643
"TR92298                                           ","266                                               ","2022-01-06","P2                                                ",3200,6,19200,"2                                                 ",72,"Male                ",4.72,"Married                                           ","Ginger Candy                                      ",3200,"Prima Kelapa Dua                                  ",-6.914864,107.608238
"TR95272                                           ","84                                                ","2022-01-06","P7                                                ",9400,3,28200,"8                                                 ",54,"Female              ",18.12,"Married                                           ","Coffee Candy                                      ",9400,"Sinar Harapan                                     ",5.54829,95.323753
"TR96723                                           ","240                                               ","2022-01-06","P5                                                ",4200,4,16800,"14                                                ",22,"Male                ",3.33,"Single                                            ","Thai Tea                                          ",4200,"Priangan                                          ",-5.45,105.26667
"TR97562                                           ","264                                               ","2022-01-06","P5                                                ",4200,3,12600,"14                                                ",21,"Male                ",1.12,"Single                                            ","Thai Tea                                          ",4200,"Priangan                                          ",-5.45,105.26667
"TR22660                                           ","43                                                ","2022-01-07","P5                                                ",4200,3,12600,"13                                                ",53,"Female              ",16.64,"Married                                           ","Thai Tea                                          ",4200,"Buana                                             ",-1.26916,116.825264
"TR23169                                           ","189                                               ","2022-01-07","P1                                                ",8800,7,61600,"7                                                 ",59,"Male                ",5.15,"Single                                            ","Choco Bar                                         ",8800,"Buana Indah                                       ",3.316694,114.590111
"TR28506                                           ","230                                               ","2022-01-07","P9                                                ",10000,3,30000,"12                                                ",40,"Male                ",4.32,"Married                                           ","Yoghurt                                           ",10000,"Prestasi Utama                                    ",-2.990934,104.756554
"TR31932                                           ","70                                                ","2022-01-07","P9                                                ",10000,4,40000,"7                                                 ",30,"Male                ",4.42,"Married                                           ","Yoghurt                                           ",10000,"Buana Indah                                       ",3.316694,114.590111
"TR38873                                           ","311                                               ","2022-01-07","P2                                                ",3200,6,19200,"5                                                 ",61,"Male                ",7.64,"Married                                           ","Ginger Candy                                      ",3200,"Bonafid                                           ",-7.250445,112.768845
"TR43744                                           ","233                                               ","2022-01-07","P2                                                ",3200,6,19200,"8                                                 ",43,"Male                ",5.69,"Married                                           ","Ginger Candy                                      ",3200,"Sinar Harapan                                     ",5.54829,95.323753
